Flight Number,Airline,Origin,Destination,Date of arrival,Close Contact Rows
QF1788,Qantas,Brisbane,Townsville,27-Mar-20,"17,18,19,20,21"
QF652,Qantas,Perth,Brisbane,25-Mar-20,"48,49,50,51,52"
QF540,Qantas,Sydney,Brisbane,26-Mar-20,"3,4,5,6,7"
QF516,Qantas,Sydney,Brisbane,27-Mar-20,"7,8,9,10,11"
QF528,Qantas,Sydney,Brisbane,28-Mar-20,"20,21,22,23,24,25,26,27,28"
QF512,Qantas,Sydney,Brisbane,27-Mar-20,"13,14,15,16,17"
QF604,Qantas,Melbourne,Brisbane,26-Mar-20,"11,12,13,14,15"
QF654,Qantas,Perth,Brisbane,27-Mar-20,"4,5,6,7,8,12,13,14,15,16,23,24,25,26, 27"
QF520,Qantas,Sydney,Brisbane,26-Mar-20,"4,5,6,7,8,9,10,11,12, 15,16,17,18,19"
QF508,Qantas,Sydney,Brisbane,25-Mar-20,"20,21,22,23,24,25,26"
QF530,Qantas,Sydney,Brisbane,25-Mar-20,"17,18,19,20,21"
QF1792,Qantas,Brisbane,Townsville,25-Mar-20,"7,8,9,10,11"
QF516,Qantas,Sydney,Brisbane,26-Mar-20,"17,18,19,20,21"
QF594,Qantas,Perth,Brisbane,25-Mar-20,"12,13,14,15,16"
