Flight Number,Airline,Origin,Destination,Date of arrival,Close Contact Rows
QF604,Qantas,Melbourne,Brisbane,27-Mar-20,Further information pending
QF652,Qantas,Perth,Brisbane,26-Mar-20,Further information pending
QF520,Qantas,Sydney,Brisbane,26-Mar-20,"15,16,17,18,19"
QF508,Qantas,Sydney,Brisbane,25-Mar-20,"20,21,22,23,24,25,26"
QF530,Qantas,Sydney,Brisbane,25-Mar-20,Further information pending
QF1792,Qantas,Brisbane,Townsville,25-Mar-20,Further information pending
EK434,Emirates,Dubai,Brisbane,24-Mar-20,"73,74,75,76,77"
VA733,Virgin Australia,Melbourne,Gold Coast,24-Mar-20,"13,14,15,16,17"
VA935,Virgin Australia,Sydney,Brisbane,24-Mar-20,"17, 18, 19, 20, 21"
VA943,Virgin Australia,Sydney,Brisbane,24-Mar-20,"16,17,18,19,20"
QF594,Qantas,Perth,Brisbane,24-Mar-20,Further information pending
VA909,Virgin Australia,Sydney,Brisbane,24-Mar-20,Further information pending
QF2356,Qantas,Brisbane,Rockhampton,24-Mar-20,"1,2,3,4,5"
EK054,Emirates,Dubai,Brisbane,23-Mar-20,"73,74,75,76,77"
EK412,Emirates,Dubai,Sydney,23-Mar-20,Further information pending
EY450,Emirates,Adu Dhabi,Sydney,23-Mar-20,"40,41,42,43,44"
JQ408,Jetstar,Sydney,Gold Coast,23-Mar-20,Further information pending
QF600,Qantas,Melbourne,Brisbane,23-Mar-20,Further information pending
QF594,Qantas,Perth,Brisbane,23-Mar-20,"14,15,16,17,18"
JQ916,Jetstar,Melbourne,Townsville,23-Mar-20,"1,2,3,4"
AC033,Air Canada,Vancouver,Brisbane,22-Mar-20,Further information pending
CI53,China Airlines,Taipei,Brisbane,22-Mar-20,"30,31,32,33,34"
EK434,Emirates,Dubai,Brisbane,22-Mar-20,"45,46,47,48,49"
JQ912,Jetstar,Sydney,Townsville,22-Mar-20,"5,6,7,8,9"
QF52,Qantas,Singapore,Brisbane,22-Mar-20,Further information pending
QF922,Qantas,Sydney,Cairns,22-Mar-20,Further information pending
VA1118,Virgin Australia,Proserpine,Brisbane,22-Mar-20,Further information pending
VA570,Virgin Australia,Perth,Sydney,22-Mar-20,"6,7,8,9,10"
VA935,Virgin Australia,Sydney,Brisbane,22-Mar-20,"7,8,9,10,11"
QF556,Qantas,Sydney,Brisbane,22-Mar-20,"11,12,13,14,15"
QF702,Qantas,Melbourne,Cairns,22-Mar-20,Further information pending
