airline,flight_number,origin,destination,arrival_date,symptoms_onset_date,close_contact_rows,reporting_state
Emirates,EK416,Dubai,Sydney,Tue 24 March 2020,Tue 07 April 2020,"24, 25, 26, 27, 28",NSW
Qantas,QF8,Dallas,Sydney,Mon 23 March 2020,Mon 06 April 2020,"83, 84, 85, 86, 87, 88",NSW
Jetstar,JQ408,Sydney,Gold Coast,Mon 23 March 2020,Mon 06 April 2020,,QLD
JAL,JL771,Tokyo,Sydney,Sun 22 March 2020,Sun 05 April 2020,TBC,NSW
Garuda Air,GA712,Jakarta,Sydney,Sun 22 March 2020,Sun 05 April 2020,"5, 6, 7, 8, 9",NSW
Qantas,QF2,London (via Singapore),Sydney,Sun 22 March 2020,Sun 05 April 2020,"19, 20, 21, 22, 23",NSW
Qatar,QR908,Doha,Sydney,Sun 22 March 2020,Sun 05 April 2020,"15, 16, 17, 18, 19",NSW
Air Canada,AC035,Vancouver,Brisbane,Sun 22 March 2020,Sun 05 April 2020,,QLD
China Airlines,CI53,Taipei,Brisbane,Sun 22 March 2020,Sun 05 April 2020,,QLD
Qantas,QF52,Singapore,Brisbane,Sun 22 March 2020,Sun 05 April 2020,,QLD
Emirates,QF8406,Dubai,Melbourne,Sun 22 March 2020,Sun 05 April 2020,"79,80,81,82,83",ACT
Qantas,QF814,Melbourne,Canberra,Sun 22 March 2020,Sun 05 April 2020,"22,23,24,25,26",ACT
Emirates,EK412/QF8412,Dubai,Melbourne,Sun 22 March 2020,Sun 05 April 2020,"76,77,78,79,80",ACT
Qantas,QF1419,Sydney,Canberra,Sun 22 March 2020,Sun 05 April 2020,"16,17,18,19,20",ACT
Qantas,QF74,San Francisco,Sydney,Sat 21 March 2020,Sat 04 April 2020,"42, 43, 44, 45, 46",NSW
United Airlines,UA101,Houston,Sydney,Sat 21 March 2020,Sat 04 April 2020,"5, 6, 7, 8, 9",NSW
Qantas,QF2,London,Sydney(via Singapore),Sat 21 March 2020,Sat 04 April 2020,"59, 60, 61, 62, 63",NSW
Etihad,EY454,Abu Dhabi,Sydney,Sat 21 March 2020,Sat 04 April 2020,"76, 77, 78, 79, 80, 81",NSW
Rex,ZL166,Sydney,Orange,Sat 21 March 2020,Sat 04 April 2020,"6, 7, 8, 9, 10",NSW
Emirates,EK414,Dubai,Sydney,Sat 21 March 2020,Sat 04 April 2020,"73, 74, 75, 76, 77",NSW
Qantas,QF761,Sydney,Adelaide,Sat 21 March 2020,Sat 04 April 2020,,SA
Emirates,EK434,Dubai,Brisbane,Sat 21 March 2020,Sat 04 April 2020,,QLD
Etihad,EY484,Abu Dhabi,Brisbane,Sat 21 March 2020,Sat 04 April 2020,,QLD
Virgin Australia,VA08,Los Angeles,Brisbane,Sat 21 March 2020,Sat 04 April 2020,,QLD
Qantas,QF2046,Sydney,Dubbo,Fri 20 March 2020,Fri 03 April 2020,"12, 13, 14, 15, 16",NSW
Scoot,TR2,Singapore,Sydney,Fri 20 March 2020,Fri 03 April 2020,"32, 33, 34, 35, 36",NSW
Qantas,QF2213,Sydney,Albury,Fri 20 March 2020,Fri 03 April 2020,"8,9,10,11,12",NSW
Jetstar,JQ504,Melbourne,Sydney,Fri 20 March 2020,Fri 03 April 2020,"20, 21, 22, 23, 24, 25, 26",NSW
Qantas,QF761,Sydney,Adelaide,Fri 20 March 2020,Fri 03 April 2020,,SA
Qantas,QF741,Sydney,Adelaide,Fri 20 March 2020,Fri 03 April 2020,,SA
Virgin,VA559,Sydney,Perth,Fri 20 March 2020,Fri 03 April 2020,"15, 16, 17, 18, 19",WA
Emirates,EK0420,Dubai,Perth,Fri 20 March 2020,Fri 03 April 2020,"13, 14, 15, 16, 17",WA
Emirates,EK434,Dubai,Brisbane,Fri 20 March 2020,Fri 03 April 2020,,QLD
Qantas,QF16,Los Angeles,Brisbane,Fri 20 March 2020,Fri 03 April 2020,,QLD
Singapore airlines,SQ255,Singapore,Brisbane,Fri 20 March 2020,Fri 03 April 2020,,QLD
Qantas,QF1467,Sydney,Canberra,Fri 20 March 2020,Fri 03 April 2020,"10,11,12,13,14",ACT
British Airways,BA15,London (via Singapore),Sydney,Fri 20 March 2020,Fri 03 April 2020,"47,48,49,50,51",ACT
Qantas,QF12,Los Angeles,Sydney,Thu 19 March 2020,Thu 02 April 2020,"60, 61, 62, 63, 64",NSW
Virgin,VA2,Los Angeles,Sydney,Thu 19 March 2020,Thu 02 April 2020,"23, 24, 25, 26, 27",NSW
Qantas,QF74,San Francisco,Sydney,Thu 19 March 2020,Thu 02 April 2020,"51, 52, 53, 54, 55",NSW
Emirates,EK412,Dubai,Sydney,Thu 19 March 2020,Thu 02 April 2020,"67, 68, 69, 70, 71",NSW
Emirates,EK416,Dubai,Sydney,Thu 19 March 2020,Thu 02 April 2020,"37, 38, 39, 40",NSW
Etihad,EY454,Abu Dhabi,Sydney,Thu 19 March 2020,Thu 02 April 2020,"75, 76, 77, 78",NSW
Qantas,QF2004,Sydney,Tamworth,Thu 19 March 2020,Thu 02 April 2020,"13, 14, 15, 16, 17",NSW
Rex,ZL717,Sydney (via Cooma),Merimbula,Thu 19 March 2020,Thu 02 April 2020,"6, 7, 8, 9, 10",NSW
Qantas,QF412,Melbourne,Sydney,Thu 19 March 2020,Thu 02 April 2020,"22, 23, 24, 25, 26, 27",NSW
Qantas,QF2221,Sydney,Wagga,Thu 19 March 2020,Thu 02 April 2020,"6, 7, 8, 9, 10",NSW
Air New Zealand,NZ883,Christchurch,Sydney,Thu 19 March 2020,Thu 02 April 2020,"26, 27, 28, 29, 30",NSW
Virgin Australia,VA444,Sydney,Adelaide,Thu 19 March 2020,Thu 02 April 2020,,SA
Jetstar,JQ768,Sydney,Adelaide,Thu 19 March 2020,Thu 02 April 2020,,SA
Qantas,QF759,Sydney,Adelaide,Thu 19 March 2020,Thu 02 April 2020,,SA
Virgin Australia,VA428,Sydney,Adelaide,Thu 19 March 2020,Thu 02 April 2020,,SA
Jetstar,JQ764,Sydney,Adelaide,Thu 19 March 2020,Thu 02 April 2020,,SA
Virgin Australia,VA436,Sydney,Adelaide,Thu 19 March 2020,Thu 02 April 2020,,SA
Virgin Australia,VA418,Sydney,Adelaide,Thu 19 March 2020,Thu 02 April 2020,,SA
Virgin Australia,VA249,Melbourne,Adelaide,Thu 19 March 2020,Thu 02 April 2020,,SA
QANTAS,QF577,Sydney,Perth,Thu 19 March 2020,Thu 02 April 2020,"27, 28, 29, 30, 31 and 48. 49, 50, 51, 52",WA
QANTAS,QF10,London,Perth,Thu 19 March 2020,Thu 02 April 2020,"4, 5, 6, 7, 8",WA
QANTAS,EK0420,Dubai,Perth,Thu 19 March 2020,Thu 02 April 2020,"62, 63, 64, 65, 66",WA
Tiger Airways,TT761,Sydney,Perth,Thu 19 March 2020,Thu 02 April 2020,"1, 2, 3, 26, 27, 28, 29, 30",WA
QANTAS,QF557,Sydney,Perth,Thu 19 March 2020,Thu 02 April 2020,"27, 28, 29, 30, 31",WA
Virgin,VA555,Sydney,Perth,Thu 19 March 2020,Thu 02 April 2020,"30, 31, 32, 33, 34",WA
Virgin,VA559,Sydney,Perth,Thu 19 March 2020,Thu 02 April 2020,"14, 15, 16, 17, 18, 29, 30, 31, 32, 33, 38, 39, 40, 41, 42",WA
QANTAS,QF577,Sydney,Perth,Thu 19 March 2020,Thu 02 April 2020,"44, 45, 46, 47, 48, 49, 50, 51, 52, 55, 56, 57, 58, 59",WA
QANTAS,QF0583,Sydney,Perth,Thu 19 March 2020,Thu 02 April 2020,"22, 23, 24, 25, 26, 27, 28, 29, 30, 31",WA
Virgin,VA464,Brisbane,Perth,Thu 19 March 2020,Thu 02 April 2020,"9, 10, 11, 12, 13",WA
Qatar,QR900,Doha,Perth,Thu 19 March 2020,Thu 02 April 2020,"32, 33, 34, 35, 36",WA
Etihad,EY484,Abu Dhabi,Brisbane,Thu 19 March 2020,Thu 02 April 2020,,QLD
Jetstar,JQ420,Sydney,Coolangatta,Thu 19 March 2020,Thu 02 April 2020,,QLD
Jetstar,JQ58,Denpasar Bali,Brisbane,Thu 19 March 2020,Thu 02 April 2020,,QLD
Jetstar,JQ814,Sydney,Brisbane,Thu 19 March 2020,Thu 02 April 2020,,QLD
Qantas,QF16,Los Angeles,Brisbane,Thu 19 March 2020,Thu 02 April 2020,,QLD
Qantas,QF512,Sydney,Brisbane,Thu 19 March 2020,Thu 02 April 2020,,QLD
Qantas,QF52,Singapore,Brisbane,Thu 19 March 2020,Thu 02 April 2020,,QLD
Qantas,QF550,Sydney,Brisbane,Thu 19 March 2020,Thu 02 April 2020,,QLD
Virgin Australia,VA08,Los Angeles,Brisbane,Thu 19 March 2020,Thu 02 April 2020,,QLD
Virgin Australia,VA7123,Abu Dhabi,Brisbane,Thu 19 March 2020,Thu 02 April 2020,,QLD
Virgin Australia,VA8,Los Angeles,Brisbane,Thu 19 March 2020,Thu 02 April 2020,,QLD
Virgin Airlines,VA935,Sydney,Brisbane,Thu 19 March 2020,Thu 02 April 2020,,QLD
Virgin Airlines,VA951,Sydney,Brisbane,Thu 19 March 2020,Thu 02 April 2020,,QLD
Jetstar,JQ82,Denpasar,Darwin,Thu 19 March 2020,Thu 02 April 2020,,NT
Qantas,QF824,Brisbane,Darwin,Thu 19 March 2020,Thu 02 April 2020,,NT
